"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","15801300","","","","0"
"2018","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","17310900","","","","0"
"2019","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","18781600","","","","0"
"2020","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","17926200","","","","0"
"2021","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","16021936","","","","0"
"2022","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","18036400","","","","0"
"2023","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","19474600","","","","0"
"2024","Canada","2016A000011124","Seeded area (acres)","Wheat, spring","Acres","28","units","0","v46230","1.1.2","19234600","","","","0"
"1990","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","1222400","","","","0"
"1991","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","715386","","","","0"
"1992","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","858700","","","","0"
"1993","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","690300","","","","0"
"1994","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","870300","","","","0"
"1995","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","884700","","","","0"
"1996","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","1090000","","","","0"
"1997","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","809700","","","","0"
"1998","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","997200","","","","0"
"1999","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","977200","","","","0"
"2000","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","1059000","","","","0"
"2001","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","1137000","","","","0"
"2002","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","1079900","","","","0"
"2003","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","1599900","","","","0"
"2004","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","1557600","","","","0"
"2005","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","1284900","","","","0"
"2006","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","1806900","","","","0"
"2007","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","1838200","","","","0"
"2008","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","2818000","","","","0"
"2009","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","2267100","","","","0"
"2010","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","1542100","","","","0"
"2011","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","1817900","","","","0"
"2012","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","2198800","","","","0"
"2013","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","2289000","","","","0"
"2014","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","2044700","","","","0"
"2015","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","1419400","","","","0"
"2016","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","1811500","","","","0"
"2017","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","1545000","","","","0"
"2018","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","1395800","","","","0"
"2019","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","1346000","","","","0"
"2020","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","1574800","","","","0"
"2021","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","1696085","","","","0"
"2022","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","1345500","","","","0"
"2023","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","1519600","","","","0"
"2024","Canada","2016A000011124","Seeded area (acres)","Wheat, winter seeded in fall","Acres","28","units","0","v62427018","1.1.44","1465300","","","","0"


